Temperature,FSF_0.05,FSF_0.15,FSF_0.25,FSF_0.35,FSF_0.45,FSF_0.55,FSF_0.65,FSF_0.75,FSF_0.85,FSF_0.95
25,-0.011671,-0.032964,-0.021154,-0.010162,-0.0015554,0.0044399,0.0078205,0.0086418,0.0069784,0.0029104
25.2,-0.012055,-0.032057,-0.020636,-0.009988,-0.0016361,0.0041952,0.0074977,0.0083212,0.0067345,0.0028128
25.4,-0.012404,-0.031166,-0.020123,-0.0098134,-0.001712,0.0039575,0.0071822,0.0080068,0.006495,0.0027168
25.6,-0.012718,-0.03029,-0.019617,-0.0096383,-0.0017831,0.0037265,0.0068738,0.0076987,0.0062599,0.0026224
25.8,-0.012998,-0.02943,-0.019117,-0.0094627,-0.0018496,0.0035022,0.0065727,0.007397,0.0060291,0.0025296
26,-0.013244,-0.028585,-0.018623,-0.0092866,-0.0019116,0.0032846,0.0062786,0.0071014,0.0058026,0.0024384
26.2,-0.013457,-0.027755,-0.018135,-0.0091103,-0.0019692,0.0030734,0.0059916,0.0068122,0.0055805,0.0023489
26.4,-0.013637,-0.026939,-0.017653,-0.0089338,-0.0020225,0.0028687,0.0057115,0.0065291,0.0053628,0.002261
26.6,-0.013784,-0.026138,-0.017178,-0.0087571,-0.0020716,0.0026704,0.0054384,0.0062521,0.0051494,0.0021747
26.8,-0.0139,-0.025351,-0.016709,-0.0085804,-0.0021166,0.0024784,0.0051721,0.0059814,0.0049403,0.00209
27,-0.013985,-0.024578,-0.016246,-0.0084038,-0.0021577,0.0022925,0.0049127,0.0057167,0.0047356,0.002007
27.2,-0.01404,-0.023819,-0.01579,-0.0082273,-0.0021947,0.0021128,0.0046601,0.0054582,0.0045352,0.0019256
27.4,-0.014067,-0.023074,-0.015339,-0.0080509,-0.002228,0.0019391,0.0044142,0.0052058,0.0043391,0.0018459
27.6,-0.014065,-0.022343,-0.014895,-0.0078748,-0.0022575,0.0017714,0.0041749,0.0049594,0.0041474,0.0017678
27.8,-0.014036,-0.021624,-0.014457,-0.007699,-0.0022833,0.0016097,0.0039423,0.0047191,0.00396,0.0016913
28,-0.013982,-0.020919,-0.014026,-0.0075235,-0.0023055,0.0014538,0.0037163,0.0044848,0.0037769,0.0016165
28.2,-0.013903,-0.020227,-0.0136,-0.0073484,-0.0023241,0.0013037,0.0034969,0.0042565,0.0035981,0.0015434
28.4,-0.0138,-0.019547,-0.01318,-0.0071737,-0.0023393,0.0011593,0.003284,0.0040342,0.0034236,0.0014719
28.6,-0.013674,-0.01888,-0.012767,-0.0069995,-0.002351,0.0010207,0.0030776,0.0038179,0.0032535,0.0014021
28.8,-0.013527,-0.018226,-0.01236,-0.0068258,-0.0023593,0.00088763,0.0028776,0.0036075,0.0030877,0.0013339
29,-0.01336,-0.017583,-0.011958,-0.0066525,-0.0023643,0.00076019,0.002684,0.0034031,0.0029262,0.0012674
29.2,-0.013174,-0.016953,-0.011563,-0.0064799,-0.0023661,0.0006383,0.0024968,0.0032046,0.002769,0.0012026
29.4,-0.012971,-0.016334,-0.011173,-0.0063078,-0.0023646,0.0005219,0.0023159,0.003012,0.0026161,0.0011394
29.6,-0.01275,-0.015728,-0.01079,-0.0061362,-0.0023599,0.00041097,0.0021414,0.0028253,0.0024675,0.0010779
29.8,-0.012513,-0.015132,-0.010412,-0.0059653,-0.002352,0.00030546,0.0019732,0.0026444,0.0023232,0.0010181
30,-0.012262,-0.014548,-0.01004,-0.0057949,-0.002341,0.00020534,0.0018112,0.0024695,0.0021833,0.00096002
30.2,-0.011997,-0.013975,-0.0096733,-0.0056251,-0.0023269,0.00011057,0.0016555,0.0023004,0.0020476,0.00090359
30.4,-0.01172,-0.013414,-0.0093124,-0.0054559,-0.0023097,2.11E-05,0.0015059,0.0021371,0.0019163,0.00084883
30.6,-0.011431,-0.012863,-0.0089571,-0.0052873,-0.0022895,-6.30E-05,0.0013626,0.0019797,0.0017892,0.00079577
30.8,-0.011131,-0.012322,-0.0086073,-0.0051192,-0.0022662,-0.00014188,0.0012255,0.0018282,0.0016665,0.0007444
31,-0.010822,-0.011793,-0.0082628,-0.0049517,-0.0022399,-0.00021549,0.0010945,0.0016824,0.001548,0.00069472
31.2,-0.010504,-0.011273,-0.0079237,-0.0047847,-0.0022106,-0.00028388,0.00096968,0.0015424,0.0014339,0.00064673
31.4,-0.010177,-0.010764,-0.0075898,-0.0046183,-0.0021783,-0.00034705,0.00085097,0.0014083,0.001324,0.00060044
31.6,-0.0098431,-0.010264,-0.0072611,-0.0044524,-0.0021429,-0.00040502,0.00073839,0.0012799,0.0012185,0.00055585
31.8,-0.0095026,-0.0097749,-0.0069374,-0.0042869,-0.0021046,-0.00045781,0.0006319,0.0011574,0.0011173,0.00051296
32,-0.0091562,-0.0092951,-0.0066188,-0.0041219,-0.0020633,-0.00050542,0.00053151,0.0010406,0.0010204,0.00047177
32.2,-0.0088045,-0.0088249,-0.0063051,-0.0039573,-0.002019,-0.00054786,0.0004372,0.00092961,0.00092775,0.00043229
32.4,-0.0084483,-0.008364,-0.0059962,-0.003793,-0.0019717,-0.00058514,0.00034897,0.00082439,0.00083944,0.00039451
32.6,-0.0080881,-0.0079123,-0.0056921,-0.0036292,-0.0019214,-0.00061727,0.0002668,0.00072495,0.00075543,0.00035845
32.8,-0.0077244,-0.0074697,-0.0053926,-0.0034656,-0.001868,-0.00064424,0.00019071,0.00063128,0.00067573,0.00032409
33,-0.0073579,-0.007036,-0.0050977,-0.0033022,-0.0018116,-0.00066605,0.00012067,0.00054338,0.00060034,0.00029144
33.2,-0.0069889,-0.0066111,-0.0048072,-0.0031391,-0.0017521,-0.0006827,5.67E-05,0.00046124,0.00052926,0.00026051
33.4,-0.006618,-0.0061947,-0.0045211,-0.0029762,-0.0016896,-0.00069418,-1.21E-06,0.00038488,0.00046249,0.0002313
33.6,-0.0062457,-0.0057868,-0.0042393,-0.0028133,-0.001624,-0.0007005,-5.31E-05,0.00031428,0.00040003,0.00020379
33.8,-0.0058722,-0.0053872,-0.0039617,-0.0026505,-0.0015552,-0.00070163,-9.89E-05,0.00024946,0.00034188,0.00017801
34,-0.0054981,-0.0049958,-0.0036881,-0.0024877,-0.0014833,-0.00069757,-0.00013858,0.0001904,0.00028805,0.00015395
34.2,-0.0051236,-0.0046123,-0.0034185,-0.0023249,-0.0014082,-0.0006883,-0.00017223,0.00013712,0.00023853,0.00013161
34.4,-0.0047492,-0.0042367,-0.0031528,-0.0021619,-0.0013299,-0.00067382,-0.0001998,8.96E-05,0.00019334,0.00011098
34.6,-0.004375,-0.0038688,-0.0028909,-0.0019988,-0.0012483,-0.00065409,-0.00022129,4.79E-05,0.00015247,9.21E-05
34.8,-0.0040016,-0.0035084,-0.0026325,-0.0018353,-0.0011635,-0.00062911,-0.00023668,1.19E-05,0.00011592,7.49E-05
35,-0.003629,-0.0031554,-0.0023778,-0.0016716,-0.0010753,-0.00059885,-0.00024597,-1.82E-05,8.37E-05,5.95E-05
35.2,-0.0032575,-0.0028097,-0.0021264,-0.0015075,-0.00098373,-0.00056329,-0.00024914,-4.26E-05,5.58E-05,4.57E-05
35.4,-0.0028874,-0.002471,-0.0018784,-0.0013429,-0.00088876,-0.0005224,-0.00024618,-6.11E-05,3.22E-05,3.37E-05
35.6,-0.002519,-0.0021394,-0.0016336,-0.0011778,-0.00079033,-0.00047616,-0.00023708,-7.39E-05,1.30E-05,2.35E-05
35.8,-0.0021523,-0.0018145,-0.0013919,-0.001012,-0.00068839,-0.00042453,-0.00022182,-8.08E-05,-1.88E-06,1.49E-05
36,-0.0017877,-0.0014963,-0.0011532,-0.00084561,-0.00058288,-0.0003675,-0.00020039,-8.20E-05,-1.24E-05,8.11E-06
36.2,-0.0014252,-0.0011846,-0.00091731,-0.00067839,-0.00047376,-0.00030503,-0.00017277,-7.73E-05,-1.86E-05,3.03E-06
36.4,-0.0010651,-0.00087928,-0.00068418,-0.0005103,-0.00036097,-0.00023707,-0.00013894,-6.67E-05,-2.05E-05,-3.25E-07
36.6,-0.0007074,-0.00058017,-0.00045366,-0.00034127,-0.00024446,-0.00016361,-9.89E-05,-5.03E-05,-1.80E-05,-1.95E-06
36.8,-0.00035233,-0.00028712,-0.00022565,-0.0001712,-0.00012415,-8.46E-05,-5.26E-05,-2.81E-05,-1.12E-05,-1.84E-06
37,1.04E-16,-2.78E-17,5.55E-17,0,-5.55E-17,0,-1.11E-16,1.11E-16,0,1.11E-16
37.2,0.00034949,0.00028135,0.0002234,0.00017242,0.00012806,9.02E-05,5.89E-05,3.40E-05,1.56E-05,3.57E-06
